,Name,Address,Website,Contact,Email,VC,VC_Phone,REG,REG_Phone
323,National Law Institute University,Bahahdbhada Road Barkeri Kalan Bhopal   Madhya Pradesh -  ,http://www.nliu.ac.in,0755-2696965/971  ,nliu@nliu.ac.in ,Prof. (Dr.) V. Vijayakumar,0755-2696784,Mrs. Giribala Singh,0755-2696723
324,National law School of India University,PB.7201  Nagarbhavi Bangalore - 560 072.    Karnataka -  ,http://www.nls.ac.in,91-080-23213160  23160532/533/535  080-23160534,registrar@nls.ac.in,Prof. (Dr.) R. Venkata Rao ,080-23160520,Prof. (Dr.)  O.V. Nandimath,080-23160537/23213160
325,National Law Universituy,"NH-65,nagaur Road  Mandor Jodhpur - 342304 (Rajasthan)    Rajasthan-  ",http://www.nlujodhpur.ac.in,+91-291-2577138  5100713  ,nlu-jod-rj@nic.in,Prof. Poonam Saxena,,Ms. Shuchi Tyagi,+91-291-2577530  2577526
326,National University of Advanced Legal Studies (NUALS),Kaloor  Kochi-682017  Kerala    Kerala -  ,http://www.nuals.ac.in,040484-0484-2555990  2555991  0484 – 2555992,registrar@nuals.ac.in,Prof. (Dr) Sunny KC,0484 2555991,Shri. Mahadev MG,0484 2550199
327,Netaji Shubhash Open University,DD-26  Salt Lake  Sector-1  Kolkata.   West Bengal - 700064 ,http://www.wbnsou.com,+91-33-2283-5157  ,,Prof.Subha Sankar Sarkar,033-2283-5666,Prof. Debesh Roy,033-2283-5159
328,Nilamber-Pitamber University,Madininager  Palamu-822101 Jharkhand    Jharkhand -  ,http://www.npu.ac.in,"06562-231580 ,231579  ",info@npu.ac.in,Prof. (Dr.) Firoz Ahmad,91-06562-231580,Dr. Amar Singh,06562-231579
329,North Benagal University,Raja Ram Mohanpur  Dist. Darjeeling - 734 430.(WB)    West Bengal -  ,http://www.nbu.ac.in,  ,,Dr.Subires Bhattacharyya,"0353-2776366,91-353-2776333",Dr.Dilip Kumar Sarkar,(0353) 2699008  0353-2776356 
330,Kavayitri Bahinabai Chadhari North Maharashtra University,Umavinagar P.B.No.80  Jalgaon    Maharashtra - 425001 ,http://www.nmu.ac.in,  ,,Prof. Pradip Premchand Patil,0353-2776366,Mr. B. B. Patil,0257-2257211  0257-2258405
331,Orissa University Of Agriculture & Technology,Bhubaneshwar - 751 003.     Orissa -  ,http://www.ouat.ac.in,2397818 / 2397868 / 2397919 / 2397970 / 2397769 / 2397719 / 2397669  ,ouatmain@hotmail.com   ,Dr. M . Kar,2397700,Dr. R. K. Das,
332,Osmania University,Hyderabad  PIN - 500 007.    Telangana-  ,http://www.osmania.ac.in,"040-27098292,27682243  ",www.osmania.ac.in,Prof.S.Ramachandram,040-27098043  040-27098048,Prof.Ch.Gopal Reddy,"040-27071349,27682363"
333,Palamuru University ,Ayyappa Complex Opp. Police Head Quarters  Mahabubnagar-509001   Telangana-  ,http://www.palamuruuniversity.ac.in,91.08542275006  088  91-08542275,,,,Prof. K.Venkatachalam,08542-221020
334,Periyar University,Govt. College of Engineering - Campus   Salem- 636 011 (T.N.)    Tamil Nadu -  ,http://periyaruniversity.ac.in,0427-2345766  2345520  ,,Prof. K. MUTHUCHELIAN,,Dr. K. Angamuthu ,
335,Potti Sreeramulu Teugu Universtity,Lalitakala -Kshetram Hyderabad-500004    Telangana-  ,http://teluguuniversity.ac.in/,040-23230435  23230641   040-23236045 ,info@teluguuniversity.ac.in,Sri Elluri Siva Reddy ,040-23234815,  Prof. K. Ashirvadam,040-23234676
336,Pt. Bhagwat Dayal Sharma University of Health Sciences,Rohtak-124001 Haryana    Haryana -  ,'http://www.uhsr.ac.in,01262-211300-303  01262-211308,vicehancellor.uhsr@gmail.com,Dr. S.S. Sangwan,1262-212812,Sh. mahender pal  HCS,01262-211109
337,Pt. Sundarlal Sharma (Open) University,Bilaspur  Vyapar Vihar  Bilaspur-495001 Chhattisgarh   Chhattisgarh-  ,http://www.pssou.ac.in,+91-07752- 213073  ,"vc@pssou.ac.in,",Dr A. R. Chandraker ,07752-213073,Dr. B.P.Sahu,07752-645346
338,Pt.Ravishankar Shukla University,Raipur - 492 010  Chattisgarh   Chhattisgarh-  ,http://www.prsu.ac.in,0771-2262818  0771-2262583,,,,,
339,Savitribai Phule Pune University,Ganeshkhind Pune    Maharashtra - 411 007 ,http://www.unipune.ac.in,25601099/25696061/25690062/25696064/ 25696065  ,,Prof. (Dr.) W. N. Gade,25693868,Dr. Narendra M. Kadu,25601181/82
340,Punjab Agriculture University,Ludhiana - 141 004.     Punjab -  ,http://www.pau.edu,91-161- 2401960-79 Ext:- 213  ,registrar@pau.edu,Dr Baldev Singh Dhillon,91-161-2401794,Dr.P.K.Khanna,24000376
341,Punjab Technical University,"Jalandhar-kapurthala Highway  Near Pushpa Gujral Science City,Kapurthala(PB.)     Punjab - 14460 ",http://www.ptu.ac.in,"01822-662542,662560,662571  ",ptuddestuc@gmail.com,Dr. Rajneesh Arora,01822-662500,,"01822-662521  526,501"
342,Punjabi University,Patiala  PIN - 147 002.    Punjab -  ,http://www.punjabiuniversity.ac.in,  ,,Dr.Bhura Singh Nijjar,0175-3046001,Dr.Manjit Singh Nijjar,0175-3046030
343,Rabindra Bharati University,56A  Barrackpore Trunk Road Kolkata - 700 050.    West Bengal -  ,http://www.rbu.ac.in,  ,registrar@rbu.ac.in,Prof. Sabyasachi Basu Ray Chaudhury,,Shri Subrata Ghosh,
344,Swami Keshwanand Rajasthan Agriculture University,Beechwal  Sriganganagar Road  Bikaner    Rajasthan-  ,http://www.raubikaner.org,91-151-2251083  , cimca@raubikaner.org,Dr. A.K.Dahama,0151-2250488  2250443,Miss Rishibala Shrimali ,0151-2250025 
345,Rajasthan Ayurveda University,"City office,82,Income Tax Col. Paota'C'Road,Jodhpur,Rajasthan    Rajasthan-  ",,  ,rau_jodhpur@yahoo.co.in,Prof. Radhe Shyam Sharma,+91–291-5153711,,+91–291-5153702
346,Rajasthan Technical University,Rawat bhata Road Kota-324 010  Rajasthan    Rajasthan-  ,http://www.rtu.ac.in,0744-2473861  ,rtuweb@gmail.com ,Prof. R. P. Yadav,0744-2473001,Smt. Bhagwanti Jethwani,0744-2473003
347,Rajasthan University,Jaipur  PIN - 302 004.    Rajasthan-  ,http://www.uniraj.ernet.in,  ,,Dr. Madhukar Gupta,,,
348,Rajasthan University of Health Sciences,Kumbha Marg  Pratap Nagar  Sector-18  Tonk Road  Sanganer  Jaipur   Rajasthan- 302033 ,http://www.ruhsraj.org,0141-2791928  0141-2795529,ruhsacademic@gmail.com,Dr. Raja Babu Panwar ,91-141-2790481,Shri Kalu Ram,91-141-2791928
349,Rajendra Agricultural University,Pusa Samastipur-848125 (BIHAR).    Bihar -  ,www.pusavarsity.org.in,06274-240226  ,info@pusavarsity.org.in,Dr. R.K. Mittal,06274-240226  ,Dr. M.L. Agarwal ,06274-240239  
350,Rajiv Gandhi Prodoyogiki Vishwavidyalaya,"Airport Bypass Gandhi Nagar,Bhopal 462036(M.P.)    Madhya Pradesh -  ",http://www.rgtu.net,0755-2507 833  ,,Smt Kalpana Shrivastava,"0755-2678801,2742001",Prof S K Jain,2734913
351,Rajiv Gandhi University of Health Science,Jayanagar Bangalore - 560 041.    Karnataka -  ,http://www.rguhs.ac.in,080-26961933/35  ,,Dr. K.S. Ravindranath,"080-26961926,26961921",Dr.D. Prem Kumar,080-26961928
352,Ranchi University,Ranchi  PIN - 834 008. (JHARKHAND)    Jharkhand -  ,http://www.ranchiuniversity.ac.in,91-651-2208553  ,admin@ranchiuniversity.org.in,Prof. (Dr.) A.A. Khan,2205177,Dr. Jyoti Kumar,
353,Rani Durgavati Vishwavidyalaya,Jabalpur - 482 001. (M.P)     Madhya Pradesh -  ,http://www.rdunijbpin.org,(0761) 2600567-68  , rdvvcc1@rediffmail.com,Prof. Kedar Nath Singh Yadava,0761-2601452,Dr. M.S. Awasya,0761-2600785
354,Ravenshaw University,Cuttack     Orissa - 753 003 ,http://ravenshawuniversity.ac.in,  ,ravenshawuniversity@yahoo.co.in,Prof. Baishnab Charan Tripathy,0671-2510 060,Dr. Padan Kumar Jena,0671-2532 690
355,Rayalaseema University,Kurnool-518 002 Andhra Pradesh    Andhra Pradesh-  ,http://www.rayalaseemauniversity.ac.in,  ,,Prof. K. Krishna Naik ,,,
356,Sambalpur University,Jyoti Vihar  Burla  Sambalpur - 768 019.    Orissa -  ,http://www.suniv.ac.in,0663-2430157  ,,Prof. Bishnu C Barik,91-663-2430158,Prof. Somnath Bagh,91-663-2430158
357,Sampurnanand Sanskrit Vishwavidyalaya,Varanasi - 221 002. (UP)     Uttar Pradesh -  ,http://www.ssvv.up.nic.in,0542- 2204089  ,info@ssvv.ac.in,Prof. Binda Prasad Mishra, 0542- 2204089,Indu Pati Jha,0542-2203911
358,Sant Gadge Baba Amravati University,Camp  ti  Amravati-444602 (M.S.)   Maharashtra -  ,http://www.sgbau.ac.in,  ,,Dr. Mohan K. Khedkar,,Shri. Dineshkumar Joshi,0721-2662173
359,Sardar Patel University,P.B. No. 10  Vallabh Vidyanagar Anand-388 120. (GUJARAT)    Gujarat -  ,http://www.spuvvn.edu,02692-237258/236475/230309  ,,Dr. Harish Padh,02692-230009,Shri Tushar C. Majmudar,02692-226806
360,Sardar Vallabh Bhai Patel University of Agriculture & Technology,Modipuram  Meerut   U.P-250110     Uttar Pradesh -  ,http://www.svbpmeerut.ac.in,0121-2888590  0121-2888522,,Prof. Hari Shankar Gaur,,,0121-2888502
361,Sarguja University,Ambikapur  Chhattisgarh     Chhattisgarh-  ,http://www.sua.nic.in,"(07774) 222789  222790,  ",registrarsua@yahoo.co.in ,Dr. B. L. Sharma,,Dr. R.D.Sharma,
362,Satavahana University,Jyothinagar  Karimnagar Andhra Pradesh-505001    Telangana-  ,http://www.satavahana.ac.in,0878-2255911  2255922  0878-2255933,,Prof. K. Veera Reddy,0878-2255800  2255911,Prof. B. Bhadraiah,0878-2255811
363,Saurashtra University,Kalavad Road Rajkot  Gujarat   Gujarat - 360 005 ,http://www.saurashtrauniversity.edu,0281-2578501/4/5/6/7/8/9/10/12  ,registrar@sauuni.ernet.in,Dr. Nitinkumar M. Pethani,0281-2577633,Dr. Ramesh G. Parmar,0281-2576557
364,Sher-e-Kashmir University of Agricultural Science & Technology,Shalimar Campus P.B.No 262 Srinagar-190 001. (J&K)    Jammu and Kashmir -  ,http://www.skuastkashmir.ac.in,  ,skustkashmir@gmail.com,Dr. Tej Partap ,0194-2462159  2464028,Dr. Farooq Ahmad Zaki,0194-2461271 
365,Shivaji University,Vidyanagar  Kolhapur - 416 004.    Maharashtra -  ,http://www.unishivaji.ac.in,0231 - 2609063  ,registrar @ unishivaji . ac . in,Prof. Dr. N. J. Pawar,,,
366,Shree Sankaracharaya University of Sanskrit,P.B.No. 14  Kalady District  Ernakulam Kalady   Kerala -  ,http://www.ssus.ac.in,  ,,Dr.M.C.Dileep Kumar,0484 2463580,Dr. N Prasantha Kumar,
367,Shree Somnath Sanskrit University,Ta: Veraval District Junagarh    Gujarat -  ,http://www.shreesomnathsanskrituniversity.org,  ,,,,,
368,Shri Jagannath Sanskrit Vishwavidyalaya,PURI - 752 001. (ORISSA)     Orissa -  ,http://www.sjsv.nic.in,06752-251565  ,,Prof Nilakantha Pati,06752  22663,Dr R.C Dash,06752-251669
369,Shri Mata Vaishno Devi University,"Sub-post office-182320 Katra,J&K    Jammu and Kashmir -  ",http://www.smvdu.net.in,01991-285535/285524/285634 /285699  01991-285694,info@smvdu.ac.in,Dr.Sanjeev Jain,01991-285686,Prof.V.K.Bhat,01991-285687
370,Sri krishnadevaraya University,Sri Venkateswarpuram-515055 Anantur Andhra Pradesh   Andhra Pradesh-  ,http://www.skuniversity.org,"08554-255056  255486,  08554-255780",webadmin@skuniversity.org,Prof. K. Ramakrishna Reddy,8554-255231  255802,Prof. K. Govindappa,8554-255700  255805
371,Sido Kanhu University,Santhal Pargana  Dumka  PIN - 814 101. (JHARKHAND)    Jharkhand -  ,http://www.skmu.edu.in/,06434-223006   06434-222495 ,,Prof. Dr. M. Basheer Ahmed Khan,06434-223006,Dr. Prakash Kumar Singh,06434-222495
372,Smt. Nathibai Damodar Thackersey Women's University,"1,Nathibai Thackersay Rd. Mumbai - 400 020.    Maharashtra -  ",http://www.sndt.ac.in,022-2203 1879  2203 2159  ,,Prof. Vasudha Kamat,-22031812,Prof. Kumudhavalli Sarangpani,
373,Solapur University ,"Solapur University  Solapur Solapur Pune national Highway Kegaon,Solapur-413255 (Maharashtra)   Maharashtra -  ",http://su.digitaluniversity.ac/,"0217-2744763  2744766  2744767  2744771,2744772  2744773  2744774  2744778                                                                                                   2744772  2744773  2744774  2744778                                             2744779  2351489",,Prof. N. N. Maldar,,Shri. S. K. Mali ,0217-2744776 
374,Veer Narmad South Gujarat University,Surat     Gujarat - 395 007 ,http://www.vnsgu.ac.in,91 (0261) 2227141 to 2227146  91 (0261) 2227312(F),info@vnsgu.ac.in ,Dr.Shivendra Gupta,0261-2227942,Shri A.V.Dhaduk,0261-2227406
375,Sri Padmavati Mahila Vishwavidyalayam,Padmavathi Puram  Near West Railway Station  Tirupati - 517 502. Andhra Pradesh  INDIA   Andhra Pradesh-  ,http://www.spmvv.ac.in,0877-2284588  0877-2248416,info@spmvv.ac.in  ,Prof S. Ratna Kumari,0877-2248417,Prof. P. Vijaya Lakshmi ,0877-2284588
376,Sri Venkateswara University,Tirupati- 517 502. A.P.    Andhra Pradesh-  ,http://www.svuniversity.ac.in,  ,,Prof. W. Rajendra ,0877-2249727  2289412 ,Prof. K. Sathyavelu Reddy  ,0877-2289414  2289545    
377,Sri Venkateswara Vedic University,Administrative Office  Dr.Y.S.R. Bhavan  Tirupati-517502 Chittoor Dist  Andhra Pradesh   Andhra Pradesh-  ,http://www.svvedicuniversity.org,  ,vcvedicuniversity@yahoo.com ,Sri B. Venkateswara Rao  I.A.S. ,0877-2222586,Dr. A. Vijaya Kumar ,0877-2264404 
378,Sri Venkateswara Veterinary University,Alipiri-Chandragiri Bypass Road Tirupati   Andhra Pradesh-517 502    Andhra Pradesh-  ,http://www.svvu.edu.in,(0877) 2248006  2248068  2248155  2248621  0877) 2249222,,Dr. Manmohan Singh  IAS,+91 877 2248986,Prof. P. Sudhakara Reddy ,+91 877 2248894
379,Swami Ramanand Teerth Marathwada University,"Dnyateerth,Vishnupuri  Nanded-431606,(M.S.)    Maharashtra -  ",http://www.srtmun.org,(091-2462) - (PBX) 229242  229243  ,,Prof. Dr. Dilip Ukey,,,
380,T.M. Bhagalpur University,Bhagalpur     Bihar -  ,http://www.tmbu.org,  ,,Prof. (Dr.) R S Dubey,"0641-2620100,2620240 ",Prof. Md. Ghulam Mustafa,0641-2620353 
381,Tamil Nadu Open University,No. 577  Anna Salai  Saidapet  Chennai   Tamil Nadu - 600015 ,http://www.tnou.ac.in,044-2430 6600  044-2430 6645,contact@tnou.ac.in,Prof K Parthsarthy,044-24306633,Dr P Thiyagarajan(I/C),91-044-24306644/6645
382,Tamil Nadu Teacher Education University,Lady Willingdon College Campus  Kamarajar Salai  Chennai-600005 Tamil Nadu   Tamil Nadu -  ,http://www.tnteu.in/,  ,,Dr. G.Visvanathan,,,-28447257
383,Tamil University,Trichy Road  Thanjavur  PIN - 613 005. (T.N.)    Tamil Nadu -  ,http://www.tamiluniversity.ac.in,  ,,,,,
384,Tamilnadu Agricultural University,Coimbatore-641 003. (T.N)     Tamil Nadu -  ,http://www.tnau.ac.in,91-422-6611200  ,,Dr. K. RAMASAMY,0422-6611251 ,,91-422-6611200
385,Tamilnadu Dr. Ambedkar Law University,"Poompozhil,5.Dr.D.G.S. dinakaran Salai  Raja Annamalai Puram  Chennai-600028  (T.N.)   Tamil Nadu -  ",http://www.tndalu.org,044 – 24641212  24641919  ,,Prof (Dr) V. VIJAYAKUMAR,044–24611364,Prof. [Dr.] D.SANKAR,044 –24610813
386,Tamilnadu Dr. M.G.R.Medical University,Guindy Chennai- 600 032.    Tamil Nadu -  ,http://www.tnmmu.ac.in,  ,,PROF. D. SHANTHARAM NATARAJ,,,      
387,Tamilnadu Physical Educaton and Sports University,"8th Floor,EVA Sampat Maaligai  college Road  Chennai-600006   Tamil Nadu -  ",http://www.tnpesu.org,  ,,DR.(MRS). GRACE HELINA,+91-44-2740 2536,DR. P.SAMRAJ,+91-44-2740 2598 / 2621
388,Tamilnadu Veterinary & Animal Sciences University,Chennai-600 007.     Tamil Nadu -  ,http://www.tanuvas.ac.in,+91-44-25551586/ 87  25554555/ 56  ,,Dr.R.PRABAKARAN,+91-44-2555 1574,Dr.T.J.HARIKRISHNAN,-25551537
389,Telangana University,Dichpally Nizamabad- 503 322 Andhra Pradesh   Telangana-  ,http://www.telanganauniversity.ac.in,08461-222217  08461-222212,tu@telanganauniversity.ac.in,"Smt. Shailaja Ramaiyar,IAS",08461-222217,Prof. R. Limbadri ,08461-222211 
390,The Rajiv Gandhi National University of Law,"Mohindra Kothi,Patiala-147 001     Punjab -  ",http://www.rgnul.ac.in,0175-2304188  2304491  2221002  ,info@rgnul.ac.in,(Dr.) Paramjit S. Jaswal,0175-2391201,Prof.(Dr.) Naresh Kumar Vats,0175-2391222
391,The Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur     Maharashtra -  ,http://www.nagpuruniversity.org,0712-2580304   2040127  ,, Dr. Vilas S. Sapkal,, Dr. A.V. Gomashe,
392,Thiruvalluvar University,Serkkadu  Vellore Vellore District Tamil Nadu   Tamil Nadu - 632 115 ,http://www.thiruvalluvaruniversity.ac.in,0416-2274755  2274756  ,,Dr. P. GUNASEKARAN,0416-2274944  2274933,DR. M. JAYAKUMAR,0416-2274746  2274747
393,Tumkur University,Vishwavidyanilaya Karyalaya B.H. Road  Tumkur    Karnataka - 572 103 ,http://www.tumkuruniversity.ac.in,0816-2254546  2255596  0816-2270719,tumkuruniversity2004@gmail.com,Prof. A.H. Rajasab,0816-2255596,Prof. D. Shivalingaiah,0816-2254546
394,U.P.King George's University of Dental Sciences,Lucknow     Uttar Pradesh -  ,http://www.kgmcindia.edu/,  ,,,,,
395,U.P. Rajarshi Tandon Open University,University Campus  Shantipuram (Sector-F)Phaphamau Allahabad-211013   Uttar Pradesh -  ,http://www.uprtou.ac.in,0532-2447035  ,www.uprtou.ac.in,Dr. Prithvish Nag,0542-2225472,Dr. A K.Singh,0532-2447035
396,University of Agricultural Sciences,"GKVK - Campus,Bangalore -560 024    Karnataka -  ",http://www.uasbangalore.edu.in,080-23332442  2333134  23330984  23330188  080-2333027,,Dr. K. Narayana Gowda,080-23332442,Dr. H.V. Nanjappa ,080-23330984/ 23330153(205)
397,University of Agricultural Sciences,Krishi Nagar  Dharwad - 580 005.    Karnataka -  ,http://www.uasd.edu,0091-836-2747958  0091-836-2745276,,Dr.R.R.Hanchinal,,Shri Bheemanagouda B. Hosamani,0836-2747958 (O)
398,University of Kota,Kota Rajasthan    Rajasthan-  ,http://www.uok.ac.in/,"+91-744-2472934,+91-744-2471037,+91-744-2209647  ",info@uok.ac.in ,Prof. Madhu Sudan Sharma,,Mr. Ram Niwas,0744-2472934
399,Utkal University,Vani Vihar  Bhubaneshwar - 751 004.    Orissa -  ,http://www.utkaluniversity.ac.in,  ,,Dr. Asoka Kumar Das,0674 2567700,Dr. Banani Mohanty,0674 2567387
400,Utkal University of Culture,"PB No.4,Sardar Patel Hall Comp Unit 2,Bhubaneswar 751009    Orissa -  ",http://www.uuc.ac.in,  91-674-2535486,"mail@uuc.ac.in,uuculture@dataone.in",Prof. Amiya Kumar Pattanayak,91-674-2535488,Dr. Sachindra Roul,91-674-2535484
401,Dr. A.P.J. Abdul Kalam Technical University,Sector -11  Jankipuram Extension Yojna  Lucknow   Uttar Pradesh - 226031 ,http://www.uptu.ac.in,  ,,,,,
402,Uttarakhand Sanskrit University,NH-58  BHEL More   Haridwar-Delhi National Highway  P.O. Bahadarabad Haridwar   Uttarakhand - 249 402 ,http://www.usvv.ac.in,01334-250896  8449088884  ,uttarakhandsvv@gmail.com,Prof. Piyushkant Dikshit ,01334-297021,Shri Girish Kumar Avasthi,01334-297022
403,Uttarakhand Technical University,A-12  Saraswati Vihar  lover Aghoe- wala  Dehrdun    Uttarakhand -  ,http://www.uktech.ac.in,"0135-2770059,2770126  2770127  2770128  Fax: 0135-2770119,2770124",vc@uktech.ac.in  pkgiitr@gmail.com,Prof P K Garg,91-135-2770128,Shri C.S. Mehta,91-135-2770126
404,Vardhman Mahaveer Open University,Rawatbhata  Road Kota RAJASTHAN     Rajasthan- 324 021 ,http://www.vmou.ac.in,+91-:0744-2471254    +91-0744-2472525,,Prof. (Dr.) Neelima Singh,074-2471254,,0744-2470971
405,Veer Bahadur Singh Purvanchal University,Shahganj Road  Jaunpur PIN-222002   (U.P.)    Uttar Pradesh -  ,http://www.vbspu.ac.in,  ,,Prof. Sunder Lal,,,
406,Veer Kunwar Singh University,Ara Bihar    Bihar - 802 301 ,http://www.vksu-ara.org,06182-2329113  ,,Prof. Leela Chand Saha,06323-223662,Dr. Manoj Kumar ,0182-239209
407,Veer Surendra Sai University of Technology,P.O. Burla Engg. College  Distt. Sambalpur  Orissa    Orissa -  ,http://www.vssut.ac.in,(0663)2430211  ,info@uceburla.ac.in,Dr. B.K. Nanda,-2430783,Dinabandhu Minz,2430573
408,Vesveswaraiah Technological University,Jnana Sangama  Belgaum-590018(Karnataka)    Karnataka -  ,http://www.vtu.ac.in,0831-2498100  ,,Dr. H. Maheshappa,0831-2498221/224/225,Dr. K.E. Prakash,0831-2498100
409,Vikrama Simhapuri University,kakutur  Venkatachalam (M.D.) Nellore  Andhra Pradesh   Andhra Pradesh- 524320 ,http://www.simhapuriuniv.ac.in,0861-2352366  0861-2352356,,Prof. G. Rajarami Reddy  ,0861-2352366  2352377 ,Prof. K. Nagendra Prasad,0861-2352366  2352377 
410,Vikram University,Ujjain      Madhya Pradesh - 456 010 ,http://www.vikramuniv.ac.in,0734-2514277  ,vcvikramujn@gmail.com  registrarvikram@gmail.com,Dr. Balkrishana Sharma,0734- 2514270,Dr. D. K. Bagga,0734-2514277
411,Vinoba Bhave University,Hazaribagh  PIN - 825 301. (JHARKHAND) Post Box No.-31   Jharkhand -  ,http://www.vbu.co.in,91-6546-294003  91-6546-270982 ,info@vbuhazaribag.org,Prof.(Dr.) Ramesh Sharan,06546-264279,Dr.Bansidhar Prasad,06546-270982
412,Yashwant Rao Chavan Maharashtra Open University,"Dnyangangotri  Near Gangapur Dam,Nasik-422222    Maharashtra -  ",http://www.ycmou.com,0253-2231714 / 2231715  ,,Dr. R. Krishnakumar,0253-2230228,, 0253-2230470
413,Yogi Vemana University ,Vemanapuram  Kadapa-516 003     Andhra Pradesh- 516 003 ,http://www.yogivemanauniversity.ac.in,08562-225429  225411  225400  ,Pa2vc@yogivemanauniversity.ac.in,Prof. B.Syama Sundar ,08562-225400  225411,Prof. M.Ramakrishna Reddy,08562-225429
414,Maharishi University of Management and Technology,Maharishi Road  Post Box No. - 10   Mangla  Bilaspur     Chhattisgarh- 495 001 ,http://www.mumt.com,07752-214301  212272  NULL,NULL,Brig. B.S. Mehta,NULL,Mr. Vijay Garudik ,NULL
415,Ahmedabad University ,Navrangpura  Ahmedabad    Gujarat - 380 009 ,http://www.ahduni.edu.in,91-79-40044161-66  ,info@ahduni.edu.in,Prof Pankaj Chandra,079-61911200,Shri. Bhupendra Shah,079-61911201
416,AMITY University ,Haryana Amity Education Valley Panchgaon  Manesar Distt.Gurgaon   Haryana - 122413 ,,  ,,Prof. P. B. Sharma,,Sh. S. Sengupta,
417,Chitkara University,"HIMUDA Education Hub Pinjore-Barotiwala Highway (NH_21A) Solan,   Himachal Pradesh - 174 103 ",http://www.chitkarauniversity.edu.in,01795-661002  01795-661011,info@chitkarauniversity.edu.in,Dr. Varinder S. Kanwar,"01795-661001,661011",,
